MSE: 0.115589220433687, PSNR: 61.72224485951303
MSE: 0.09526418984674784, PSNR: 52.82194896046305
MSE: 0.11548473181634317, PSNR: 63.20734437090238
MSE: 0.11321417147605664, PSNR: 65.83108290908774
MSE: 0.0964860000531869, PSNR: 36.05170539676547
MSE: 0.09668880260317365, PSNR: 39.66539963112873
MSE: 0.09959712405704799, PSNR: 53.49474142394684
MSE: 0.16323920462278274, PSNR: 43.860555039286226
MSE: 0.1003850177096655, PSNR: 52.195834033764044
MSE: 0.13188438890476892, PSNR: 55.289724714044546
MSE: 0.13916855742413647, PSNR: 59.7968933826056
MSE: 0.12072184855699408, PSNR: 61.78846486449794
MSE: 0.12136844840877799, PSNR: 64.37255823901512
MSE: 0.48296554482639253, PSNR: 31.710540743380413
MSE: 0.4855062969366861, PSNR: 23.97107552386188
MSE: 0.11639812210158049, PSNR: 62.24411269347399
MSE: 0.1222837593432018, PSNR: 54.26835058261665
MSE: 0.12611512588240537, PSNR: 53.8977157974914
MSE: 0.12794437732802846, PSNR: 46.40374299980017
MSE: 0.13264325542770697, PSNR: 49.39067002979839
MSE: 0.10849974566181773, PSNR: 51.365362372420485
MSE: 0.11997779407379991, PSNR: 60.552959581568864
MSE: 0.1267853503897299, PSNR: 58.66376426500657
MSE: 0.11912243552021232, PSNR: 64.78936749649908
MSE: 0.5948878685669184, PSNR: 23.982313253289202
MSE: 0.09789339430811043, PSNR: 62.093219155456
MSE: 0.2300368245794937, PSNR: 42.057534148288696
MSE: 0.10907265963734364, PSNR: 50.422261677746064
MSE: 0.11803742679598793, PSNR: 59.24238356670993
MSE: 0.7798092864569925, PSNR: 12.248234683659149
MSE: 0.2900294763916309, PSNR: 35.87990018552026
MSE: 0.08732077313170218, PSNR: 42.68778166195342
MSE: 0.11802756008288204, PSNR: 64.94951660403609
MSE: 0.4332973140767161, PSNR: 23.45487260812025
MSE: 1.0377486001273832, PSNR: 19.258895745763365
MSE: 1.3134683303765957, PSNR: 18.89876243872284
MSE: 1.035035750011276, PSNR: 25.322997447898313
MSE: 0.9887162223862348, PSNR: 28.01328408995552
MSE: 0.11347644482739724, PSNR: 66.91536634935568
MSE: 0.12094734051146419, PSNR: 62.37627059859501
MSE: 0.10226150249113122, PSNR: 60.165236701063314
MSE: 0.14749499910344196, PSNR: 34.54739420825532
MSE: 0.11961367119994071, PSNR: 60.159143298044135
MSE: 0.14636045828475183, PSNR: 46.615709726292074
MSE: 0.1252180384800612, PSNR: 60.522835628496054
MSE: 0.12436598950376675, PSNR: 64.75117439925158
MSE: 0.12051361494928281, PSNR: 65.13798663749719
MSE: 0.10327442520717826, PSNR: 31.400646506899538
MSE: 0.1295142941244281, PSNR: 41.74861903283498
MSE: 0.448808121355072, PSNR: 24.3169238050422
MSE: 0.10967917046065032, PSNR: 61.45441499505819
MSE: 0.10953658294149701, PSNR: 63.1364443155836
MSE: 0.12609277446284672, PSNR: 50.036923629515684
MSE: 0.11747153310214141, PSNR: 60.150828471002484
MSE: 0.09824492554912911, PSNR: 35.72150120700603
MSE: 0.11393902990554158, PSNR: 54.561874378737095
MSE: 0.11078993057631771, PSNR: 61.9329546078697
MSE: 0.09783976290062946, PSNR: 51.20767118709097
MSE: 0.09709608122370963, PSNR: 43.66050256086244
MSE: 0.10972325654823925, PSNR: 32.380416872644915
MSE: 0.08790347769335374, PSNR: 17.5818329908278
MSE: 0.09201870341367221, PSNR: 38.23200775967933
MSE: 0.1646961089414097, PSNR: 45.171935225573435
MSE: 0.26906096408519015, PSNR: 23.1414680077446
MSE: 0.8034480223681866, PSNR: 13.98041348366739
MSE: 0.2024214457222998, PSNR: 33.44582714141241
MSE: 0.09845249740279997, PSNR: 54.40728027136788
MSE: 0.10415257728805724, PSNR: 57.019639158576155
MSE: 0.10559667228326759, PSNR: 62.60817571432323
MSE: 0.10157854650792006, PSNR: 53.56294456102031
MSE: 1.0007780632528425, PSNR: 25.50462220047774
MSE: 0.3887117312524175, PSNR: 24.502082103099934
MSE: 0.12685738858529477, PSNR: 64.97398706648346
MSE: 0.7881117299338631, PSNR: 17.321243795129565
MSE: 0.3331092617173799, PSNR: 27.012010530076136
MSE: 0.5473685230086281, PSNR: 29.47637625224278
MSE: 0.27161146369293543, PSNR: 42.93739844477667
MSE: 0.10301212025868083, PSNR: 67.28036376243271
MSE: 0.1274370344212149, PSNR: 62.30339363323699
MSE: 0.12068318372666227, PSNR: 44.49645073309977
MSE: 0.11632125452159783, PSNR: 65.39398464090483
MSE: 0.3815400357617045, PSNR: 43.709049114556564
MSE: 0.17607303213602526, PSNR: 48.918749221667454
MSE: 0.2385717167944436, PSNR: 45.203845971516415
MSE: 1.1031857514452081, PSNR: 18.00042126039399
MSE: 0.6664941010792885, PSNR: 33.7366595517357
MSE: 1.125858526258199, PSNR: 12.938294620525625
MSE: 1.6425979585023864, PSNR: 13.800478119175338
MSE: 0.39497129391762487, PSNR: 41.49671507471482
MSE: 0.8573502871663123, PSNR: 27.287838682992067
MSE: 0.5745852751662631, PSNR: 37.418411666422756
MSE: 0.10155600543952109, PSNR: 50.784683859828775
MSE: 1.0026748910458498, PSNR: 20.671062426521036
MSE: 0.09562034294729749, PSNR: 44.15791244711304
MSE: 0.12651652966450017, PSNR: 61.38238374519963
MSE: 1.3951822365440043, PSNR: 19.849636652582948
MSE: 0.12138875523645798, PSNR: 60.98774371150383
MSE: 0.3497251714347011, PSNR: 36.6210155206477
MSE: 0.11112853179770213, PSNR: 57.61559854504695
MSE: 0.6366944618179872, PSNR: 38.81786048803846
MSE: 0.1135954806844309, PSNR: 65.35520282132585
MSE: 0.9829534125811549, PSNR: 15.323193032056908
MSE: 0.410975320972629, PSNR: 30.568897585433042
MSE: 0.852134965057959, PSNR: 22.640496639604827
MSE: 1.3719034403357606, PSNR: 20.383180931781
MSE: 0.12472838703799516, PSNR: 61.31081798994951
MSE: 1.8920202923116631, PSNR: 17.241200218569904
MSE: 1.4576512897499079, PSNR: 15.965133522891474
MSE: 0.22856710580814155, PSNR: 44.06907545189917
MSE: 1.2215449260114455, PSNR: 19.447043841876436
MSE: 1.338379116949438, PSNR: 20.66557411236344
MSE: 1.6080729320937936, PSNR: 22.805013659313307
MSE: 0.7132448664395693, PSNR: 35.010794389283696
MSE: 3.6612019715351103, PSNR: 17.769178213486956
MSE: 2.8068607415413123, PSNR: 15.540808460134441
MSE: 2.348951173257702, PSNR: 13.9181279161723
MSE: 0.28408959934538264, PSNR: 40.77660165656218
MSE: 0.3689670323002243, PSNR: 29.842845985816094
MSE: 0.13845523803671098, PSNR: 41.57161011133652
MSE: 0.1185316327857354, PSNR: 64.16969557902553
MSE: 0.8683566283927906, PSNR: 26.33154362223559
MSE: 1.4186823992504094, PSNR: 22.862246499580678
MSE: 1.5752719008470526, PSNR: 24.110219039603393
MSE: 1.4029678117043647, PSNR: 24.825691481482103
MSE: 1.045468855223969, PSNR: 31.61411971625241
MSE: 0.9178672057276838, PSNR: 22.597533690451954
MSE: 0.6704660064825215, PSNR: 31.164958122710527
MSE: 1.0928342302777785, PSNR: 16.085475757699548
MSE: 1.4502490389046458, PSNR: 21.60525125924906
MSE: 0.7900406600474978, PSNR: 24.964551094416038
MSE: 1.1610458683703901, PSNR: 26.60605827483402
MSE: 1.3279241512072955, PSNR: 28.227808833816308
MSE: 1.7773778700618437, PSNR: 17.641061553679393
MSE: 2.476213081719722, PSNR: 18.514819437206587
MSE: 1.5765149233762876, PSNR: 21.028230532944555
MSE: 1.4426702143891432, PSNR: 20.007090256208357
MSE: 2.273025717624902, PSNR: 20.61248517744881
MSE: 2.051148858941486, PSNR: 17.802747954228252
MSE: 2.066729866358602, PSNR: 22.852922931578604
MSE: 1.8477557956849766, PSNR: 20.138928394461757
MSE: 1.9413123580291582, PSNR: 14.854377264331955
MSE: 1.0113568180056174, PSNR: 26.625502595482086
MSE: 0.9169969817654783, PSNR: 25.642505016124538
MSE: 1.3884747078476287, PSNR: 21.216309448098034
MSE: 0.9859362515659041, PSNR: 26.865530068791696
MSE: 1.820297410193065, PSNR: 21.554811000721813
MSE: 1.8960942997439025, PSNR: 21.93912324529866
MSE: 1.6808480878747538, PSNR: 21.125218799137727
MSE: 1.2025863969282835, PSNR: 20.435953430648595
MSE: 0.973604405472202, PSNR: 22.817391966975347
MSE: 1.263100852664116, PSNR: 20.320368776169623
MSE: 0.5311631123988854, PSNR: 31.808135460507327
MSE: 0.403137840254664, PSNR: 33.81087766372201
MSE: 0.19894344360331456, PSNR: 43.38567261810512
MSE: 0.6947936745366676, PSNR: 21.187119773303134
MSE: 1.071514157132575, PSNR: 19.717742164359823
MSE: 0.47006258001147677, PSNR: 21.32599470279281
MSE: 0.9234852778054194, PSNR: 21.71317212624806
MSE: 0.7749361674457007, PSNR: 24.665778695371642
MSE: 1.5634316063057974, PSNR: 22.630797809521404
MSE: 2.1151548065464136, PSNR: 19.909932390049736
MSE: 0.14383150593181726, PSNR: 44.56187911526599
MSE: 0.17884892707253305, PSNR: 39.87235906604389
MSE: 0.43116433016286126, PSNR: 38.47621101143228
MSE: 0.21766465700959586, PSNR: 26.87203201673786
MSE: 0.21207202499859576, PSNR: 37.486881334985625
MSE: 0.12196756275011637, PSNR: 50.53892055966966
MSE: 0.8486837552829465, PSNR: 23.74199079706845
MSE: 0.3887622318212808, PSNR: 29.789563086047753
MSE: 0.14893198189401738, PSNR: 43.03422208524705
MSE: 1.6742524155945955, PSNR: 18.07514874792098
MSE: 1.5724705337900744, PSNR: 12.038964143499658
MSE: 0.7339331258119086, PSNR: 30.188532067149445
MSE: 0.29317020128379323, PSNR: 34.939502186732994
MSE: 1.4244143897215107, PSNR: 19.871619929070192
MSE: 1.0304325684031437, PSNR: 25.556802550002132
MSE: 0.6908384588905209, PSNR: 24.11060068174597
MSE: 0.8914957869749679, PSNR: 27.084229863002967
MSE: 0.1383326425471028, PSNR: 57.2345614657263
MSE: 0.10799430136736804, PSNR: 51.67776776425673
MSE: 0.16941431671610707, PSNR: 44.780989888101686
MSE: 0.8608216594069213, PSNR: 24.334967874398565
MSE: 0.289872676169311, PSNR: 35.67237704950724
MSE: 0.5574098784421005, PSNR: 34.32566761556116
