MSE: 0.0583040940139186, PSNR: 35.590822478210285
MSE: 0.04882743918542723, PSNR: 40.232455264623795
MSE: 0.07196739059738935, PSNR: 42.07005506273405
MSE: 0.10339742316018481, PSNR: 39.33906821866199
MSE: 0.07961754343512274, PSNR: 41.6239589012634
MSE: 0.06538934553907963, PSNR: 41.77641280772478
MSE: 0.058057046546645445, PSNR: 39.18669222684453
MSE: 0.11377714274682925, PSNR: 51.50534008221069
MSE: 0.08156769419438839, PSNR: 53.8705008828383
MSE: 0.1272320724077944, PSNR: 36.217788406285145
MSE: 0.08667926443418587, PSNR: 54.14612589645031
MSE: 0.05474495621690026, PSNR: 42.13986948331669
MSE: 0.06970576289146824, PSNR: 41.81167771264494
MSE: 0.07151436196192001, PSNR: 50.23143887401056
MSE: 0.10196466340562321, PSNR: 47.85408216122332
MSE: 0.10874751119579223, PSNR: 41.12167762010513
MSE: 0.0589821214824489, PSNR: 52.92741267448947
MSE: 0.08994587064487002, PSNR: 47.814618048982744
MSE: 0.10385968256153193, PSNR: 46.72434830075598
MSE: 0.11865058892377486, PSNR: 39.245236386938636
MSE: 0.08265600830040105, PSNR: 45.055041926250226
MSE: 0.10467687635889258, PSNR: 35.86866134960055
MSE: 0.09139896091089937, PSNR: 39.11291977189077
MSE: 0.06463949259433102, PSNR: 47.69358927348819
MSE: 0.1247008493105909, PSNR: 51.882507060230466
MSE: 0.059440949779234614, PSNR: 41.30145927969303
MSE: 0.08401990029579351, PSNR: 41.922661112173984
MSE: 0.06249865276516896, PSNR: 52.80455737087137
MSE: 0.08361027699253715, PSNR: 47.09396152595599
MSE: 0.14922267503679698, PSNR: 52.33327114824487
MSE: 0.05658311524139258, PSNR: 74.22729212590266
MSE: 0.062184078168215494, PSNR: 35.14470074447957
MSE: 0.11278809018923112, PSNR: 44.03348721524078
MSE: 0.12446110843347848, PSNR: 67.86093320985461
MSE: 0.13747234141538361, PSNR: 50.50922763766287
MSE: 0.1331041887866044, PSNR: 50.7532648752298
MSE: 0.13032630352074087, PSNR: 53.606429441333596
MSE: 0.11029337855477843, PSNR: 46.97163083549037
MSE: 0.08954118234844839, PSNR: 38.46066387683171
MSE: 0.05476088936336358, PSNR: 39.12595740656295
MSE: 0.07845530721149203, PSNR: 43.99546407044771
MSE: 0.09891495335225373, PSNR: 43.75640354872281
MSE: 0.06349004812166335, PSNR: 37.72576120728233
MSE: 0.08048516365373752, PSNR: 41.87699559189619
MSE: 0.1292962482343054, PSNR: 42.63100995170947
MSE: 0.0955767407252285, PSNR: 40.44622412949295
MSE: 0.032304298764052546, PSNR: 46.756731905704044
MSE: 0.061153026768943845, PSNR: 33.440367338581986
MSE: 0.10382149633307386, PSNR: 44.34835312723365
MSE: 0.15646749167751103, PSNR: 53.62691701498103
MSE: 0.10130399126107922, PSNR: 39.92345381296662
MSE: 0.10427431951608418, PSNR: 39.652511987197045
MSE: 0.05177309509675208, PSNR: 41.668592893733205
MSE: 0.08046838983504047, PSNR: 36.57235696719425
MSE: 0.08813352991493291, PSNR: 43.44960676005784
MSE: 0.06018369886101153, PSNR: 38.11456330370095
MSE: 0.07802651009670715, PSNR: 43.32356287205383
MSE: 0.059315134013206976, PSNR: 43.047165215915406
MSE: 0.044386933488898044, PSNR: 50.61012987643735
MSE: 0.07070215546575087, PSNR: 65.61131255414668
MSE: 0.04472010964172918, PSNR: 36.654075086847676
MSE: 0.07624876015735281, PSNR: 40.78666825845707
MSE: 0.07531470582972591, PSNR: 52.60672631591844
MSE: 0.1140517028574078, PSNR: 62.250876978898845
MSE: 0.21047609185375707, PSNR: 54.4458443885376
MSE: 0.06994840889486732, PSNR: 45.99826442616301
MSE: 0.07041871246771253, PSNR: 38.62132893865087
MSE: 0.0725144287002654, PSNR: 41.73986170324419
MSE: 0.0587897757743139, PSNR: 42.34015714875958
MSE: 0.08122931182601621, PSNR: 47.2377859275045
MSE: 0.11776980184130155, PSNR: 52.23053375059877
MSE: 0.11486382317763187, PSNR: 46.155908360727295
MSE: 2.8656493310684357, PSNR: 37.664029641759534
MSE: 0.15260436699440522, PSNR: 63.91726854569346
MSE: 0.11728482098679988, PSNR: 46.976337953850766
MSE: 0.12184421367852188, PSNR: 45.95668827230391
MSE: 0.13806355608661197, PSNR: 44.01519643852776
MSE: 0.09848991313580309, PSNR: 43.697092109510635
MSE: 0.10630769131278742, PSNR: 40.10574426729186
MSE: 0.07906637138383302, PSNR: 42.18561270527392
MSE: 0.04847580728204071, PSNR: 49.753007274443135
MSE: 0.11242802096671774, PSNR: 40.9651675825625
MSE: 0.15087477158199855, PSNR: 37.38167056720072
MSE: 0.09536288989487107, PSNR: 48.459201361667326
MSE: 0.16650625970070593, PSNR: 50.49410205042774
MSE: 0.1654592204884979, PSNR: 38.54887995320668
MSE: 0.22292512095221162, PSNR: 52.27048291562972
MSE: 0.25902612493944516, PSNR: 51.487879817906396
MSE: 0.21676778583124665, PSNR: 38.41399204801494
MSE: 0.2115533322040582, PSNR: 39.43441743984941
MSE: 0.12075222413800764, PSNR: 39.84740993046301
MSE: 0.07548882650237385, PSNR: 40.86316236408818
MSE: 0.14176481751917086, PSNR: 56.78328286685211
MSE: 0.06679324153597499, PSNR: 43.68900395208814
MSE: 0.11673007991329226, PSNR: 35.971922268229676
MSE: 0.23035814022211543, PSNR: 48.643262713221816
MSE: 0.049309600603391124, PSNR: 41.881147674694716
MSE: 0.12201550921016348, PSNR: 48.88713230059196
MSE: 0.09636099542216185, PSNR: 44.62645878127688
MSE: 0.15732883855381974, PSNR: 40.27660498252625
MSE: 0.1091749607056326, PSNR: 38.470915112998895
MSE: 0.17661950980119798, PSNR: 54.321523887065226
MSE: 0.1305274201446021, PSNR: 40.112778141570864
