MSE: 0.01713400203566754, PSNR: 57.7703702287329
MSE: 0.058863540103434725, PSNR: 71.86637560648425
MSE: 0.02632689900203107, PSNR: 47.74786474445533
MSE: 0.06395343415350484, PSNR: 72.97893402866505
MSE: 0.0662189629744759, PSNR: 69.52900325020609
MSE: 0.072481468270117, PSNR: 69.98915478143418
MSE: 0.04921691016050778, PSNR: 79.09368990699872
MSE: 0.01934937152952497, PSNR: 53.61077905283739
MSE: 0.06010051506164251, PSNR: 91.50520099971692
MSE: 0.024091520012917138, PSNR: 73.61926961404733
MSE: 0.022957341705335196, PSNR: 86.58978836184188
MSE: 0.02394710866575882, PSNR: 92.12393180184714
MSE: 0.02112310235554621, PSNR: 40.67320721220804
MSE: 0.018558457426194698, PSNR: 35.962708144611106
MSE: 0.021678360031515364, PSNR: 53.06857066271423
MSE: 0.030515807466589592, PSNR: 77.2587852530147
MSE: 0.019639077863279373, PSNR: 44.78489649777519
MSE: 0.02449656297204027, PSNR: 53.503579207616276
MSE: 0.0343340385151401, PSNR: 74.6612417607702
MSE: 0.033427069863121786, PSNR: 81.62897031087107
MSE: 0.03815910125305148, PSNR: 70.43408198388818
MSE: 0.06011614252383044, PSNR: 60.43045522114638
MSE: 0.06802312851466992, PSNR: 56.46040208619553
MSE: 0.06859565821121026, PSNR: 56.2053546750282
MSE: 0.06744562057409055, PSNR: 54.427513771657736
MSE: 0.0720534023664995, PSNR: 53.27451850244594
MSE: 0.08302055542444373, PSNR: 58.5674563373244
MSE: 0.0873957367200915, PSNR: 66.28780478758999
MSE: 0.06557079522937279, PSNR: 77.1860915136884
MSE: 0.07323295727903513, PSNR: 78.43450567715671
MSE: 0.02041893295115443, PSNR: 46.44927502922592
MSE: 0.02759581591787806, PSNR: 63.358652496358665
MSE: 0.05089479071835464, PSNR: 87.51999153988282
MSE: 0.06348800050017231, PSNR: 88.42618950658357
MSE: 0.06116953467815436, PSNR: 81.56612650182872
MSE: 0.07481643518953746, PSNR: 84.81193601258619
MSE: 0.06034292678388347, PSNR: 83.58610250844235
MSE: 0.043822038726755656, PSNR: 92.39818853206773
MSE: 0.03609255006266975, PSNR: 69.67531665039294
MSE: 0.03440333606571361, PSNR: 51.95932524359013
MSE: 0.042072131637069674, PSNR: 57.901989982310916
MSE: 0.02570171443997399, PSNR: 63.91231915293975
MSE: 0.04250203882083222, PSNR: 56.88806747089501
MSE: 0.048716324768051884, PSNR: 59.54632353199407
MSE: 0.06237556417273498, PSNR: 63.0693769244597
MSE: 0.07088158936680845, PSNR: 58.87991692693098
MSE: 0.049388074321635736, PSNR: 58.19099375422474
MSE: 0.04668081272983768, PSNR: 62.26687605295817
MSE: 0.04695392588980442, PSNR: 67.17543886813903
MSE: 0.049836202274173465, PSNR: 62.03825461055888
MSE: 0.04318950450958377, PSNR: 65.20966476392354
MSE: 0.056805593111133215, PSNR: 63.20521798920286
MSE: 0.03809027580885879, PSNR: 66.71840807602395
MSE: 0.06317457870579599, PSNR: 56.742468999579046
MSE: 0.09041308810395693, PSNR: 62.5098431903097
MSE: 0.08449457785919529, PSNR: 58.65146862851552
MSE: 0.10639889715127451, PSNR: 58.8716284425464
MSE: 0.10605736516391114, PSNR: 57.40718272958604
MSE: 0.10657749311034692, PSNR: 59.58945652887387
MSE: 0.1212848522323917, PSNR: 64.41821515566049
MSE: 0.12627055501649861, PSNR: 63.75996642823483
MSE: 0.13174380987298592, PSNR: 63.084062264387114
MSE: 0.1435690958923613, PSNR: 61.05114930275878
MSE: 0.04352012179283153, PSNR: 65.79779844358622
MSE: 0.12946208188045275, PSNR: 66.56087960346461
MSE: 0.09753829979336569, PSNR: 69.89437524155622
MSE: 0.08631854930717033, PSNR: 76.76270506542808
MSE: 0.03358736812122952, PSNR: 55.2514703670295
MSE: 0.07196528144080012, PSNR: 79.19930208456095
