MSE: 0.08955391006258182, PSNR: 65.59719513316317
MSE: 0.07950010258129972, PSNR: 62.040277947429026
MSE: 0.10645721283994994, PSNR: 64.33923089208338
MSE: 0.10084753412873494, PSNR: 68.02042869924635
MSE: 0.08099170360831595, PSNR: 61.37684684476927
MSE: 0.0710615173713498, PSNR: 66.5987061825559
MSE: 0.07715432235824443, PSNR: 63.01341172837641
MSE: 0.1557769038966747, PSNR: 45.39825350932733
MSE: 0.08341882795387665, PSNR: 53.359932336061384
MSE: 0.13735542831667727, PSNR: 55.85493326507799
MSE: 0.1370467693616485, PSNR: 59.24596838635395
MSE: 0.12240579606019585, PSNR: 60.04984675875009
MSE: 0.10399118584789883, PSNR: 65.96200205695138
MSE: 0.49137710539296947, PSNR: 33.131802495003484
MSE: 0.4855065182544413, PSNR: 24.95375126858333
MSE: 0.11048562136816974, PSNR: 62.65049439803243
MSE: 0.13145926658059143, PSNR: 53.15228097150201
MSE: 0.1221337425953534, PSNR: 53.01191576907993
MSE: 0.13003504450244133, PSNR: 47.62051390471087
MSE: 0.15960383044440976, PSNR: 49.809309109711336
MSE: 0.09395031177486461, PSNR: 62.17679327770875
MSE: 0.10082926921547393, PSNR: 59.0979477985302
MSE: 0.11603179175301223, PSNR: 53.35461492048453
MSE: 0.11075036344715579, PSNR: 62.83371345088294
MSE: 0.6112546048334103, PSNR: 24.9942372979105
MSE: 0.09815268965358978, PSNR: 63.29998079444246
MSE: 0.24161832907098857, PSNR: 44.336083212768415
MSE: 0.10846579138616713, PSNR: 50.80396061152861
MSE: 0.10011726597124322, PSNR: 59.67175072957708
MSE: 0.7951076774758467, PSNR: 12.690926811410318
MSE: 0.28715151774508846, PSNR: 37.36881897871186
MSE: 0.08339924991402559, PSNR: 56.677456456622856
MSE: 0.11719241984838183, PSNR: 61.500147914608796
MSE: 0.4236018219966971, PSNR: 23.918980575722838
MSE: 1.0362534843575646, PSNR: 19.932484139489766
MSE: 1.3109968570449895, PSNR: 19.591039946442713
MSE: 1.037868528516851, PSNR: 26.1305238166638
MSE: 0.999721831049587, PSNR: 29.31210014510693
MSE: 0.10538264876458693, PSNR: 64.76887196543503
MSE: 0.10199293095927382, PSNR: 62.93743826052535
MSE: 0.1068620355180237, PSNR: 60.39814763599513
MSE: 0.15956553854623223, PSNR: 35.41717579379264
MSE: 0.10130674942380234, PSNR: 62.127444974415255
MSE: 0.15458640203295632, PSNR: 47.93665583539952
MSE: 0.11259418645312891, PSNR: 60.713035903413484
MSE: 0.11986376526859029, PSNR: 64.87326633868618
MSE: 0.10590550396894141, PSNR: 66.10809739073633
MSE: 0.09437151247478257, PSNR: 56.42621116120479
MSE: 0.11628241094744872, PSNR: 43.86836141149222
MSE: 0.4383991877126715, PSNR: 26.07052596608562
MSE: 0.0908990790853232, PSNR: 65.32978431797842
MSE: 0.10255210597285865, PSNR: 63.09047035475898
MSE: 0.11638508119358108, PSNR: 62.19638330254773
MSE: 0.1277214200312556, PSNR: 57.90686263531272
MSE: 0.08963927033298101, PSNR: 64.48433840097441
MSE: 0.10780188045353693, PSNR: 51.92005071061142
MSE: 0.11914498843591606, PSNR: 59.66555054038716
MSE: 0.07970113846781139, PSNR: 66.17401509940424
MSE: 0.06696693036917879, PSNR: 70.87989389085871
MSE: 0.09344005723684246, PSNR: 32.94728693219633
MSE: 0.054897177927184, PSNR: 53.35093423970697
MSE: 0.07864730086143776, PSNR: 64.75679616084759
MSE: 0.16234802880539342, PSNR: 46.826824779212714
MSE: 0.26963230561347373, PSNR: 23.674385265845928
MSE: 0.8044990164151172, PSNR: 14.490923755193526
MSE: 0.207768642014021, PSNR: 34.821402055551395
MSE: 0.09372686752789858, PSNR: 62.47167372522141
MSE: 0.0891269769897037, PSNR: 63.50941462655253
MSE: 0.09415532390732824, PSNR: 65.96088513670828
MSE: 0.08348790171655304, PSNR: 70.18309531944256
MSE: 0.9917266564317752, PSNR: 26.941012113692086
MSE: 0.3964398348733546, PSNR: 25.582952518355388
MSE: 0.12289689583959576, PSNR: 62.66276544268868
MSE: 0.7975192846802335, PSNR: 17.97766336844507
MSE: 0.3587404914622003, PSNR: 27.81114850286965
MSE: 0.553431380881303, PSNR: 30.88291740568613
MSE: 0.28665712901850504, PSNR: 44.21838785667825
MSE: 0.09480425497510635, PSNR: 68.51718932311388
MSE: 0.12556052472960466, PSNR: 63.7275099154939
MSE: 0.10841061123603501, PSNR: 63.10336729964852
MSE: 0.1100970929923826, PSNR: 64.17444780649255
MSE: 0.4025358852718227, PSNR: 45.11231413758396
MSE: 0.21162402126917626, PSNR: 49.059142891845575
MSE: 0.25611275970840774, PSNR: 46.23629410753422
MSE: 1.1106695142154108, PSNR: 18.420152397459482
MSE: 0.6774016140499806, PSNR: 34.93751638563676
MSE: 1.1347302648078836, PSNR: 13.422055056067752
MSE: 1.6420528648344765, PSNR: 14.218495781974006
MSE: 0.4225228339135691, PSNR: 42.7577368917099
