MSE: 0.023860537235078517, PSNR: 73.48857177586056
MSE: 0.17051160855120265, PSNR: 53.24817656590967
MSE: 0.04009699161382659, PSNR: 58.62023059767743
MSE: 0.17438316338910692, PSNR: 54.6223458998755
MSE: 0.19044657096088236, PSNR: 51.70168075727343
MSE: 0.22535111480138206, PSNR: 49.40080963978728
MSE: 0.13402377976506896, PSNR: 56.16744194219691
MSE: 0.024984558391212972, PSNR: 62.5403325448717
MSE: 0.18033980508321362, PSNR: 52.87876456635197
MSE: 0.030847074774534182, PSNR: 91.76836928460088
MSE: 0.03024092076525968, PSNR: 63.3937984194809
MSE: 0.030910916292154325, PSNR: 75.06314812450017
MSE: 0.03080639724362421, PSNR: 51.95625511866005
MSE: 0.029604064545859843, PSNR: 48.10607181346196
MSE: 0.03205867400887912, PSNR: 56.666539003381054
MSE: 0.04666854352949865, PSNR: 64.28137333785784
MSE: 0.02723883001766714, PSNR: 46.00696785988895
MSE: 0.03344609058093945, PSNR: 65.71450965994445
MSE: 0.051607957002347486, PSNR: 61.41063865542655
MSE: 0.07905795835898165, PSNR: 65.50013246937785
MSE: 0.05220084807788238, PSNR: 77.96995993404367
MSE: 0.08399377122873586, PSNR: 65.04337110333469
MSE: 0.1198824297939223, PSNR: 52.34384047414374
MSE: 0.13065499312404583, PSNR: 53.70585446819533
MSE: 0.14487408826621156, PSNR: 52.97677886952832
MSE: 0.17359813986049272, PSNR: 49.25896337302567
MSE: 0.21455794179114884, PSNR: 34.40719006939044
MSE: 0.24046653201282728, PSNR: 34.20972665582169
MSE: 0.20632275130768538, PSNR: 39.93930332877716
MSE: 0.26452914821371537, PSNR: 42.31489885270405
MSE: 0.02553933128093934, PSNR: 56.58439196232741
MSE: 0.03666712442127725, PSNR: 78.50600883303773
MSE: 0.13308057107691934, PSNR: 46.39407937837207
MSE: 0.16262126241779007, PSNR: 46.245656121945366
MSE: 0.11213750001962326, PSNR: 50.93800739944132
MSE: 0.18429502300164105, PSNR: 47.09732695207988
MSE: 0.1551957744928427, PSNR: 47.86587451661195
MSE: 0.07832525615197965, PSNR: 46.74515270925344
MSE: 0.04884196654802668, PSNR: 80.94389366946464
MSE: 0.05226036066959378, PSNR: 64.20502953913447
MSE: 0.0724608361823086, PSNR: 73.6636513047351
MSE: 0.034110484627683846, PSNR: 76.34937138038546
MSE: 0.07146991489429547, PSNR: 71.79283431841922
MSE: 0.09117789003079575, PSNR: 60.70868963372714
MSE: 0.1461837619157532, PSNR: 39.48144783594504
MSE: 0.23919425881756096, PSNR: 34.85394851692652
MSE: 0.15153141051424432, PSNR: 43.89986445793977
MSE: 0.12516298889924843, PSNR: 47.98577076512909
MSE: 0.130399365797434, PSNR: 46.959334645121984
MSE: 0.11218487006450319, PSNR: 38.98859692079632
MSE: 0.09665604432681026, PSNR: 59.21849800089882
MSE: 0.18439236391676422, PSNR: 42.66714516815756
MSE: 0.06367368650739211, PSNR: 76.01005926641602
MSE: 0.28406116909893925, PSNR: 36.73586968925173
MSE: 0.4742749083366855, PSNR: 27.464474356446917
MSE: 0.44303925850509035, PSNR: 28.078535351923332
MSE: 0.5226109200290038, PSNR: 24.828127147082924
MSE: 0.5303547953589838, PSNR: 24.177722901163214
MSE: 0.5140814149694084, PSNR: 26.272771448467957
MSE: 0.5459118770974895, PSNR: 24.21862895912783
MSE: 0.567186837611518, PSNR: 25.100385258675587
MSE: 0.5968929700312657, PSNR: 26.240301444139575
MSE: 0.6420601469983901, PSNR: 24.356996655412658
MSE: 0.07239176275006065, PSNR: 74.21993710313308
MSE: 0.5580608800971121, PSNR: 27.59741835417256
MSE: 0.3333270856913095, PSNR: 30.054581613930416
MSE: 0.24013503998910346, PSNR: 36.55145743099828
MSE: 0.05008132465842302, PSNR: 69.87735672586592
MSE: 0.28285114923932453, PSNR: 40.929234181861474
MSE: 0.3554297896191165, PSNR: 42.48038087408339
MSE: 0.023974855441450057, PSNR: 55.20282303661127
MSE: 0.07898432775637387, PSNR: 54.14279981247339
MSE: 0.019428734196479235, PSNR: 40.566016978248534
MSE: 0.023285717381600114, PSNR: 74.17870931830959
MSE: 0.17665244730424295, PSNR: 35.883781246399515
MSE: 0.02396394216797013, PSNR: 58.63968054411038
MSE: 0.03262828091923176, PSNR: 70.83958005749219
MSE: 0.02534827576911105, PSNR: 68.4152708289307
MSE: 0.04872871808958169, PSNR: 78.69247952412054
MSE: 0.06281534426112688, PSNR: 77.20538077523818
MSE: 0.06745746730909898, PSNR: 76.48829414041514
MSE: 0.06649515387955003, PSNR: 76.59000284402839
MSE: 0.0677402855485915, PSNR: 76.21814746975501
MSE: 0.06514416920391373, PSNR: 77.14437986482758
MSE: 0.06285663342321693, PSNR: 77.18668019021834
MSE: 0.08834971668927571, PSNR: 58.02662549871197
MSE: 0.06037733827984185, PSNR: 77.99511602759942
MSE: 0.05054571886509628, PSNR: 77.27754603585068
MSE: 0.034236734896576276, PSNR: 72.02157494144643
MSE: 0.027862230908860617, PSNR: 56.57699822874778
MSE: 0.02942793439966579, PSNR: 59.624211170430485
MSE: 0.02989956358550304, PSNR: 63.346483240960666
MSE: 0.028025619099851982, PSNR: 54.587453794981315
MSE: 0.032971008068829986, PSNR: 68.09261828231082
MSE: 0.03140226263736963, PSNR: 71.3138446632285
MSE: 0.033779894525719265, PSNR: 48.63957975019786
MSE: 0.08143154029553183, PSNR: 71.02579156089577
MSE: 0.0555070910223281, PSNR: 80.39798077620476
MSE: 0.1432568564085316, PSNR: 53.95217337927257
MSE: 0.28742997897140543, PSNR: 28.53957430010555
MSE: 0.4135841030478691, PSNR: 27.180667691908262
MSE: 0.34292939480970924, PSNR: 27.915210176003864
MSE: 0.23548121687456275, PSNR: 30.76338819338251
MSE: 0.1233523836057993, PSNR: 35.844119625159514
MSE: 0.057423830073325764, PSNR: 79.24068813560146
MSE: 0.0462472104342845, PSNR: 63.240481009968896
MSE: 0.03891483842143807, PSNR: 54.82184708174326
MSE: 0.0688696041297166, PSNR: 69.28227362851136
MSE: 0.0770773996911668, PSNR: 58.53530740302146
MSE: 0.08287782879982883, PSNR: 40.8983541073432
MSE: 0.07175512910484616, PSNR: 50.30303724859509
MSE: 0.07979545245726001, PSNR: 64.04154247986409
MSE: 0.06830814316511684, PSNR: 57.057343353829154
MSE: 0.07830126436109433, PSNR: 59.95376090626057
MSE: 0.07567047341538916, PSNR: 61.12724493143229
MSE: 0.06996853286156143, PSNR: 61.04625522526749
MSE: 0.06631066906069875, PSNR: 61.37863527072451
MSE: 0.057670406591618956, PSNR: 63.81079369188163
MSE: 0.1157070656807968, PSNR: 36.54435817538892
MSE: 0.06502101780127727, PSNR: 55.974762346981464
MSE: 0.06675789136978187, PSNR: 68.51287372542231
MSE: 0.06683207820873642, PSNR: 69.39460061955556
MSE: 0.06313738243611246, PSNR: 70.41251097730816
MSE: 0.0575760239297582, PSNR: 71.4107506484733
MSE: 0.052606108103306216, PSNR: 66.26136761173206
MSE: 0.04351774835946017, PSNR: 58.622063198278056
MSE: 0.09898733871402507, PSNR: 47.898368888451316
MSE: 0.0650921806199707, PSNR: 71.02319716829017
MSE: 0.05990687721393738, PSNR: 57.708118705827914
MSE: 0.05650200021406964, PSNR: 57.64758334691952
MSE: 0.04815571482897223, PSNR: 70.5434019788799
MSE: 0.05676788742173621, PSNR: 58.687907789075666
MSE: 0.06511541687748966, PSNR: 54.233552024704
MSE: 0.07220366465528458, PSNR: 55.480437287618464
MSE: 0.06772136604030098, PSNR: 57.71278706774689
MSE: 0.05527608155693366, PSNR: 63.16052850524714
MSE: 0.17953651704483597, PSNR: 38.03307684010013
MSE: 0.060789545665039066, PSNR: 58.86629451952848
MSE: 0.06643157610214877, PSNR: 57.96850238374554
MSE: 0.07464960973075227, PSNR: 62.90129556493051
MSE: 0.06968458867403697, PSNR: 74.17125226524033
MSE: 0.06870955626000685, PSNR: 65.49907498422995
MSE: 0.06005931527606151, PSNR: 55.53267074791984
MSE: 0.04981482165105749, PSNR: 61.08105990191212
MSE: 0.05187527654498538, PSNR: 63.9881648419225
MSE: 0.05385236737164448, PSNR: 57.0941325054462
MSE: 0.055420162771508, PSNR: 56.75389531973526
MSE: 0.04733582298208688, PSNR: 60.384758699830954
MSE: 0.04324287589551338, PSNR: 67.17685235637958
MSE: 0.04334205689361, PSNR: 55.06110275963447
MSE: 0.21249061473964254, PSNR: 36.92506174827227
MSE: 0.09152547171617416, PSNR: 68.18834628483859
MSE: 0.045456473491314424, PSNR: 62.66789601106743
MSE: 0.051596134022503806, PSNR: 78.8794209757281
MSE: 0.05396287553126989, PSNR: 73.87194105533851
MSE: 0.04560354746685035, PSNR: 69.7443951942712
MSE: 0.1968370781820302, PSNR: 45.60393363526566
MSE: 0.08366084521238033, PSNR: 50.38481008829497
MSE: 0.04708856757874901, PSNR: 59.64349092954503
MSE: 0.04898197653760139, PSNR: 63.37747163370908
MSE: 0.049563868917121785, PSNR: 63.99255707007744
MSE: 0.047059674587859396, PSNR: 61.28483461800222
MSE: 0.08835169605800787, PSNR: 64.66109586931915
MSE: 0.048980054991472524, PSNR: 59.937002600428414
MSE: 0.05613347420427257, PSNR: 60.358602615590264
MSE: 0.06951509040636901, PSNR: 62.698926399474445
MSE: 0.09035982447847021, PSNR: 36.199497914841636
MSE: 0.10190678320616352, PSNR: 64.76103417810404
MSE: 0.05725497456069571, PSNR: 58.988991855865756
MSE: 0.04483499000993929, PSNR: 57.6688178061533
MSE: 0.03977920714869805, PSNR: 80.69571480806633
MSE: 0.049499497550167484, PSNR: 61.93979547446545
MSE: 0.04938852093636252, PSNR: 66.07102138544424
MSE: 0.08604834143298817, PSNR: 67.95796692825989
MSE: 0.05266873424851069, PSNR: 69.77749521633538
MSE: 0.052951001280192644, PSNR: 57.583328374787904
MSE: 0.06660550563491126, PSNR: 61.74018275639771
MSE: 0.0773432254785141, PSNR: 53.130715797895476
MSE: 0.06448347074803598, PSNR: 57.045473609156986
MSE: 0.062351162855017225, PSNR: 60.83825307690523
MSE: 0.06056508775793541, PSNR: 65.62292882959234
MSE: 0.06183207400702815, PSNR: 61.17685447342859
MSE: 0.06565817534587892, PSNR: 61.2258316533907
MSE: 0.051530476774746696, PSNR: 57.95703441686573
MSE: 0.10242573286555318, PSNR: 63.54804039542279
MSE: 0.05667544796176116, PSNR: 63.15134336796055
MSE: 0.07180116349075624, PSNR: 60.8251956392045
MSE: 0.07811758948807411, PSNR: 64.57570807524027
MSE: 0.09105935323854164, PSNR: 66.37272217189702
MSE: 0.0851663181749985, PSNR: 68.67439039677342
MSE: 0.08431822937053768, PSNR: 67.52077884952544
MSE: 0.09880691987354012, PSNR: 41.16163352042534
MSE: 0.10144275364831895, PSNR: 61.69713907173972
MSE: 0.18610536258861476, PSNR: 26.046129965707387
MSE: 0.12978599103283445, PSNR: 35.264265245473766
MSE: 0.10952409036908113, PSNR: 62.079609346596655
MSE: 0.07494989077088948, PSNR: 62.351345534119474
MSE: 0.05437135709355283, PSNR: 76.96560660127628
MSE: 0.053209418944021855, PSNR: 77.3700254922325
MSE: 0.1749292404462769, PSNR: 39.17532869710871
MSE: 0.03942382674261585, PSNR: 80.79366837562895
MSE: 0.052917449290645964, PSNR: 76.76122937813258
MSE: 0.0712940557349369, PSNR: 56.81256017559855
MSE: 0.06656291864865838, PSNR: 74.86427593437045
MSE: 0.06687021085927976, PSNR: 73.40111642177642
MSE: 0.14469757919281098, PSNR: 41.904088773729036
MSE: 0.11566710577359553, PSNR: 60.007384861825244
MSE: 0.06567583838925453, PSNR: 75.77563060490512
MSE: 0.10699047602923889, PSNR: 62.687888489460306
MSE: 0.03224939362520983, PSNR: 76.3244708776389
MSE: 0.2770392086234473, PSNR: 30.15548381333189
MSE: 0.10034941609513477, PSNR: 64.45035414482209
MSE: 0.10024092036559074, PSNR: 68.75602916557564
MSE: 0.08171322752877173, PSNR: 65.4153692853612
MSE: 0.07400323340220259, PSNR: 67.2468623296618
MSE: 0.07706455277766895, PSNR: 63.97761684458271
MSE: 0.06913697069489234, PSNR: 66.85134969380492
MSE: 0.06276353543453599, PSNR: 73.031359624159
MSE: 0.05632002224795096, PSNR: 59.687569917052045
MSE: 0.06597273516887522, PSNR: 75.88315489189263
MSE: 0.032043374361993386, PSNR: 75.3679840227218
MSE: 0.07477599853840683, PSNR: 74.28724048152156
MSE: 0.0772403670355043, PSNR: 73.55359794762153
MSE: 0.07739991230063878, PSNR: 65.95738740598861
MSE: 0.23487221524059818, PSNR: 40.8212753541209
MSE: 0.07889798393160982, PSNR: 60.41174491145871
MSE: 0.09846344192613696, PSNR: 55.827525736716964
MSE: 0.07656729285251825, PSNR: 66.51346417399375
MSE: 0.06829127604295018, PSNR: 69.7208431730498
MSE: 0.06732895915049207, PSNR: 59.27142910847899
MSE: 0.053811498142321654, PSNR: 63.575160509090054
MSE: 0.04110934382149618, PSNR: 76.75551527924308
MSE: 0.06340076560969142, PSNR: 65.22411588127578
MSE: 0.059287411947461295, PSNR: 68.62737137378737
MSE: 0.06733526061776421, PSNR: 65.40962267243928
MSE: 0.06396338652784483, PSNR: 63.49388288058611
MSE: 0.06964258924437834, PSNR: 60.89669637621756
MSE: 0.06405842402767145, PSNR: 59.59630160372551
MSE: 0.1073429548817773, PSNR: 38.9352492058458
MSE: 0.06079340367991957, PSNR: 62.680913743378746
MSE: 0.06581901170567545, PSNR: 60.56437991562751
MSE: 0.08399172421709271, PSNR: 60.41731020916964
MSE: 0.04974116752073319, PSNR: 67.44558012281705
MSE: 0.07429786333848466, PSNR: 65.02698578908954
MSE: 0.07366928036245542, PSNR: 70.19852146349918
MSE: 0.07517870166253149, PSNR: 70.2022811134812
MSE: 0.06205926130287212, PSNR: 68.07999805336651
MSE: 0.06062194611198808, PSNR: 64.99511136339078
MSE: 0.06494515890700989, PSNR: 74.8655808688297
MSE: 0.0638973248462147, PSNR: 77.36971091574618
MSE: 0.0713915971483315, PSNR: 74.06950893811499
MSE: 0.06122440986485017, PSNR: 77.53011602960848
MSE: 0.051588445551156936, PSNR: 62.91120621199566
MSE: 0.08982001667600269, PSNR: 60.418432524737824
MSE: 0.049615574329914605, PSNR: 65.31315361779335
MSE: 0.04776149818637263, PSNR: 63.297233648834876
MSE: 0.050236200273870525, PSNR: 65.45616206181165
MSE: 0.049869122591473206, PSNR: 63.8520284786188
MSE: 0.05075344425363218, PSNR: 60.755399016197
MSE: 0.09641229737233915, PSNR: 47.79382299704663
MSE: 0.06473899446912065, PSNR: 62.639790835978275
MSE: 0.07119618796740648, PSNR: 69.16344586566751
MSE: 0.09537840433549753, PSNR: 53.556937566733666
MSE: 0.10418129417235092, PSNR: 48.46723041434197
MSE: 0.08663650452692857, PSNR: 66.60846959713471
MSE: 0.12905214738408397, PSNR: 47.176842071888494
MSE: 0.4150556404911094, PSNR: 34.88639042505039
MSE: 0.49361312944015084, PSNR: 34.53577205031378
MSE: 0.4073352023787929, PSNR: 35.15364978445592
MSE: 0.38707961933684165, PSNR: 34.913005644638304
MSE: 0.12583557571344683, PSNR: 39.51266118570387
MSE: 0.06557160083364093, PSNR: 61.47391430146685
MSE: 0.09218286679180607, PSNR: 41.05619886742171
MSE: 0.05013316509687364, PSNR: 73.280697331725
MSE: 0.06051700638317916, PSNR: 74.58068468139831
MSE: 0.0631705870228514, PSNR: 60.18428652053605
MSE: 0.11749339842525836, PSNR: 35.19518812051262
MSE: 0.15950697958385734, PSNR: 41.59995473751161
MSE: 0.06359388393121311, PSNR: 76.23862832284976
MSE: 0.023677130508303022, PSNR: 62.77432753219681
MSE: 0.029465116099817206, PSNR: 67.19887403583456
MSE: 0.12262707024278094, PSNR: 47.72456568708357
MSE: 0.10644010223376792, PSNR: 44.890416952664125
MSE: 0.0738179008320599, PSNR: 67.93024498437757
MSE: 0.037132413326050016, PSNR: 50.44249619065396
MSE: 0.03937849723511889, PSNR: 47.13707976276035
MSE: 0.07972125347941272, PSNR: 72.90075838258952
MSE: 0.02963259994622352, PSNR: 63.78884006584282
MSE: 0.1624703609337381, PSNR: 47.617283887259134
MSE: 0.06234135092909695, PSNR: 65.35740981743157
MSE: 0.0656821816255343, PSNR: 67.78955761440385
MSE: 0.06830308194500027, PSNR: 66.94300518714114
MSE: 0.22614840456531762, PSNR: 38.46815697195791
MSE: 0.07486726794083184, PSNR: 64.3820683892995
MSE: 0.1354606597563477, PSNR: 37.18317894480413
MSE: 0.07948453729829515, PSNR: 57.77307785271093
MSE: 0.1888808234054773, PSNR: 30.52168534459912
MSE: 0.07235699732373906, PSNR: 74.58092777911419
MSE: 0.7247946671499882, PSNR: 23.489991782787705
MSE: 0.4305847489264298, PSNR: 23.40296439038941
MSE: 0.46554437713033503, PSNR: 20.751469033447087
MSE: 0.396229448567201, PSNR: 23.99772867890906
MSE: 0.1667646079347799, PSNR: 26.998946157404482
MSE: 0.11500613419326569, PSNR: 49.58202562377953
MSE: 0.10698332834694481, PSNR: 47.21901077292938
MSE: 0.0907092776663365, PSNR: 56.86820269610051
MSE: 0.08590184312167096, PSNR: 63.68468492738572
MSE: 0.08349199184735544, PSNR: 70.60274529486408
MSE: 0.18278743869603248, PSNR: 40.08201918392675
MSE: 0.08379696288839039, PSNR: 71.49502118206644
MSE: 0.08310047481317366, PSNR: 71.34621956990566
MSE: 0.09767942318496023, PSNR: 65.94400305363897
MSE: 0.10080387840707829, PSNR: 63.97315792960585
MSE: 0.10379646680547944, PSNR: 45.614151951508475
MSE: 0.11103412447984362, PSNR: 55.04516939353265
MSE: 0.10540795408342436, PSNR: 59.64712196354058
MSE: 0.08830475010610983, PSNR: 70.2801083749973
MSE: 0.08502129330755813, PSNR: 70.18953239048103
MSE: 0.08489303522859555, PSNR: 68.5107637422949
MSE: 0.17828278517932275, PSNR: 41.860875465846014
MSE: 0.08349410536232293, PSNR: 68.86496969718749
MSE: 0.0852053026645306, PSNR: 71.34802746940079
MSE: 0.08268426071490859, PSNR: 62.617520123774156
MSE: 0.08501860147697007, PSNR: 63.15315013492078
MSE: 0.08200621642898571, PSNR: 66.94138082434931
MSE: 0.08035154287022073, PSNR: 68.93654088724892
MSE: 0.09146010353006032, PSNR: 67.83650016935466
MSE: 0.09672765537552754, PSNR: 66.85273782820711
MSE: 0.0970524941425018, PSNR: 67.07678619130866
MSE: 0.09435434525940803, PSNR: 64.15993670932073
MSE: 0.13869049480407397, PSNR: 45.976628360014146
MSE: 0.09467179534834591, PSNR: 69.0146937773986
MSE: 0.08690129618441739, PSNR: 68.39592103840351
MSE: 0.08633670537727359, PSNR: 67.48420327354492
MSE: 0.08648436284331107, PSNR: 67.09670273190378
MSE: 0.08706869527172674, PSNR: 66.50914426443134
MSE: 0.09743447795944211, PSNR: 66.68972894147825
MSE: 0.10528247790793463, PSNR: 63.69299010581264
MSE: 0.11201331196959483, PSNR: 59.39647674848856
MSE: 0.1048803423639865, PSNR: 60.57478549093973
MSE: 0.10466575637245686, PSNR: 61.214987306236196
MSE: 0.13976324856018973, PSNR: 50.89258598785691
MSE: 0.10801685942914402, PSNR: 65.33776213286367
MSE: 0.09933369232586697, PSNR: 67.34668677056605
MSE: 0.07813387024004229, PSNR: 64.16970204310715
MSE: 0.06326495819759058, PSNR: 65.77657290099273
MSE: 0.05388094406066713, PSNR: 59.995279851358774
MSE: 0.054079695163621544, PSNR: 53.764397381255236
MSE: 0.05702961312305782, PSNR: 57.14694222763185
MSE: 0.06547929278480687, PSNR: 60.46077262564873
MSE: 0.060654078030279286, PSNR: 57.394215813839565
MSE: 0.05627040769599909, PSNR: 57.864620905969375
MSE: 0.2026115122124593, PSNR: 46.98047047446238
MSE: 0.052606826237317536, PSNR: 59.984597770461214
MSE: 0.1837009641408873, PSNR: 29.958569328999612
MSE: 0.17870976705756372, PSNR: 32.999057742856095
MSE: 0.05448612389793278, PSNR: 75.3706925929638
MSE: 0.04131239480504426, PSNR: 51.73267264491699
MSE: 0.04527366846403791, PSNR: 60.51107005335524
MSE: 0.09132960571925312, PSNR: 41.21944745046403
MSE: 0.05210281862902755, PSNR: 58.34279931239978
MSE: 0.05396902725659275, PSNR: 64.72388873002019
MSE: 0.05319453850614055, PSNR: 55.541148639764664
MSE: 0.2357852811241694, PSNR: 30.420526806494976
MSE: 0.05594868275806908, PSNR: 71.90035008377053
MSE: 0.1512011329163018, PSNR: 44.95761676561757
MSE: 0.1562312829714804, PSNR: 42.80194449147778
MSE: 0.178562055658982, PSNR: 37.60970533470546
MSE: 0.2491995475672017, PSNR: 34.31327511115481
MSE: 0.15360907998581277, PSNR: 60.535256233402386
MSE: 0.23933086731938027, PSNR: 34.66782201613463
MSE: 0.23276866056740225, PSNR: 35.776383661217324
MSE: 0.18731010660991826, PSNR: 36.685634224076026
MSE: 0.12258374168193169, PSNR: 46.40938280653902
MSE: 0.16551518282144656, PSNR: 20.80874228385143
MSE: 0.09592312275613005, PSNR: 69.2914913743569
MSE: 0.09510281959408462, PSNR: 69.55979848766677
MSE: 0.09874531862310794, PSNR: 57.45070222949187
MSE: 0.15544537049674984, PSNR: 39.737473631982894
MSE: 0.2093515979564077, PSNR: 33.77107585972868
MSE: 0.13477734443858755, PSNR: 60.21640859066935
MSE: 0.23129144901484894, PSNR: 33.82343298150271
MSE: 0.24127952499707478, PSNR: 33.52752160643022
MSE: 0.2422145722010098, PSNR: 34.15039407953334
MSE: 0.23992979416500004, PSNR: 34.030622475077806
MSE: 0.2174214140403677, PSNR: 36.521972161123266
